age,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,risk_level,stress_level_ord,gender_Male,gender_Other,reward_app_share
21,3.23,2.01,0.89,4.55,7.55,248,154,Low,1,1,0,0.8978325393707308
24,5.09,3.81,2.24,4.44,7.66,127,71,Low,1,0,1,1.188604874537353
31,6.06,1.36,3.83,2.35,4.92,44,106,Low,2,0,1,0.8564355022383661
32,7.83,5.85,1.51,3.54,8.23,178,107,Moderate,2,0,1,0.9399743371680284
25,9.96,5.92,3.42,5.27,6.21,136,177,High,0,1,0,0.9377509098643665
26,9.32,4.26,0.29,3.99,6.9,82,56,High,1,1,0,0.48819737251101153
25,10.4,4.93,1.6,0.86,8.61,165,95,High,1,1,0,0.6278845550111004
26,4.26,4.6,2.16,4.61,6.43,169,117,Moderate,0,1,0,1.5868540875929371
21,4.38,1.38,2.72,3.78,6.23,172,134,Low,2,0,1,0.9360728456454689
35,9.76,4.73,1.36,2.11,5.21,20,82,High,0,0,1,0.6239753459041655
34,8.48,1.34,3.05,3.47,8.0,155,15,Moderate,1,0,0,0.5176886181970969
27,5.16,1.82,2.27,0.93,7.79,228,32,Low,2,0,1,0.7926355053031966
33,11.52,1.41,2.11,3.84,8.84,158,66,High,1,0,1,0.3055555290316381
32,4.09,1.74,1.35,3.74,5.54,76,16,Low,2,1,0,0.7555010377748074
19,10.74,0.89,0.95,4.18,5.46,53,161,High,0,1,0,0.17132214419719327
21,3.87,2.87,1.69,3.07,7.78,192,180,Low,1,1,0,1.1782942691746074
24,4.71,2.97,1.69,2.03,5.62,39,128,Low,2,0,1,0.9893840786870322
35,10.52,5.83,3.71,5.17,5.25,144,138,Moderate,1,0,0,0.9068440202619753
18,11.87,1.96,3.14,3.0,6.4,207,157,Moderate,1,0,0,0.42965455521023127
24,11.72,3.69,2.17,4.61,4.76,169,137,Moderate,2,0,1,0.49999995733788755
20,10.66,0.88,0.27,5.24,6.32,247,160,Moderate,2,0,0,0.10787991483302863
34,5.85,1.93,2.68,2.23,5.7,53,180,Low,1,0,0,0.7880340533275123
21,3.66,1.67,1.06,5.63,8.46,245,77,Low,0,0,1,0.7459014355460558
34,3.07,4.99,1.2,4.15,8.73,54,82,High,0,0,0,2.01628598818046
24,9.46,1.62,2.54,1.95,6.7,236,28,Moderate,1,1,0,0.4397462537266117
28,9.94,4.0,1.05,4.58,6.98,129,158,Moderate,0,0,0,0.5080482386269378
