Age,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Stress_Level,Time_Spent_With_Family_Hours,Online_Shopping_Hours,Has_Screen_Time_Management_App,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score,risk_level,Education_Level_ord,Gender_Male,Gender_Other,Urban_Urban,reward_app_share
32,43865.49,5.81,75.0,0.84,1.61,3.36,1.44,2.14,5.22,1.32,95.8,1.7,1.85,0,16.43,1,16.0,106.0,39.36,Low,0,1,0,0,0.9999998278829901
26,41868.19,9.05,61.0,3.13,2.5,0.8,2.42,1.44,6.23,0.66,25.03,0.9,0.66,1,32.87,0,12.0,111.0,9.45,High,2,1,0,0,0.7104971590610873
34,19751.8,8.94,129.0,2.28,2.49,0.97,1.39,2.66,6.21,1.14,63.04,1.32,0.4,0,17.51,0,8.0,78.0,14.38,Low,3,1,0,0,0.6420580937295197
33,26629.11,7.45,50.0,2.02,0.49,2.41,1.6,2.98,6.54,1.4,95.94,0.77,0.1,1,24.49,0,8.0,85.0,31.52,High,-1,0,1,1,0.6604025959191147
34,33236.88,8.09,86.0,2.58,1.89,2.42,0.98,2.19,6.52,0.79,69.66,2.53,1.23,0,17.14,0,13.0,95.0,24.82,Moderate,1,1,0,1,0.8516686215489961
18,16430.69,5.01,75.0,1.12,0.69,1.26,1.63,1.11,7.42,1.4,23.15,2.16,0.81,1,29.76,1,8.0,112.0,37.84,High,1,0,0,1,0.6127743287875592
18,40513.1,6.06,68.0,1.38,1.61,1.27,1.99,2.46,6.68,1.07,41.25,2.33,0.9,0,31.2,0,13.0,12.0,47.86,High,3,1,0,1,0.7029701810280229
33,6521.03,5.79,47.0,2.02,0.34,1.88,1.23,1.11,4.86,1.11,16.75,1.48,0.77,0,41.45,1,11.0,99.0,14.92,High,-1,1,0,0,0.7322969374271265
22,40098.41,5.64,99.0,2.87,0.51,2.44,1.11,4.06,6.29,0.77,72.57,1.55,1.05,1,21.51,1,20.0,52.0,63.38,High,3,0,1,0,1.03191471065342
18,9879.63,4.42,79.0,1.3,3.61,1.52,1.43,1.93,4.39,1.65,37.18,0.46,1.24,1,35.65,1,13.0,110.0,20.23,High,0,1,0,1,1.4547508020925786
18,9612.64,4.27,105.0,0.47,1.87,2.34,1.44,1.55,5.48,0.26,36.4,2.36,0.95,0,31.13,1,11.0,97.0,93.39,High,1,0,0,1,1.096018478684197
18,29571.43,3.89,61.0,1.17,0.34,1.4,2.79,2.58,7.26,1.17,24.48,2.26,0.64,1,17.6,0,13.0,107.0,47.43,Low,1,0,1,1,0.7480717871280753
